,,,,,,,
Cost ID,Cost-Name,,Recurring,Abrechnung,Rechnungsdatum,Aktiv,Typ
,,,,,,,
,KSt + SolZ (Vorausz.),STEUERN,,,,,
,USt-Vorauszahlung (Cashflow)*,STEUERN,,,,,
,,,,,,,
,1Password,SOFTWARE,Yes,Monthly,,,
,Airtable,SOFTWARE,Yes,Monthly,,,
,Ben AI,SOFTWARE,Yes,Monthly,,,
,ChatGPT / OpenAI,SOFTWARE,,,,,
,Databutton,SOFTWARE,,,,,
,Delphi AI ($14.50),SOFTWARE,,,,,
,ElevenLabs,SOFTWARE,,,,,
,Google Workspace,SOFTWARE,,,,,
,Hetzner Hosting,SOFTWARE,,,,,
,Hostinger,SOFTWARE,,,,,
,Krea.ai,SOFTWARE,,,,,
,Lindy AI,SOFTWARE,,,,,
,Loom,SOFTWARE,,,,,
,Lovable,SOFTWARE,,,,,
 - ,Midjourney,SOFTWARE,,,,,
 - ,Notion,SOFTWARE,,,,,
,OpenRouter,SOFTWARE,,,,,
,P.SKOOL ($69.00),SOFTWARE,,,,,
,Riff.AI ($50.00),SOFTWARE,,,,,
,Saily (eSIM),SOFTWARE,,,,,
,Somewhere.com (VA),SOFTWARE,,,,,
,Stan Store,SOFTWARE,,,,,
 - ,Supabase,SOFTWARE,,,,,
,Tella,SOFTWARE,,,,,
,Wispr,SOFTWARE,,,,,
,iCloud,SOFTWARE,,,,,
,n8n Cloud,SOFTWARE,,,,,
,,,,,,,
,Coursera,SOFTWARE,Yes,Annually,,,
,EODHD APIs,SOFTWARE,,,,,
,Gumroad Templates,,,,,,
,Werbe-/Reisekosten,,,,,,
,Bahn/Bus,,,,,,
,Flüge,,,,,,
,Parken,,,,,,
,Reisedokumente,,,,,,
,Taxi/Uber,,,,,,
,Fahrzeugkosten (ohne Steuer),,,,,,
,Tanken,,,,,,
,Besondere Kosten,,,,,,
,Bürobedarf (Kaufland),,,,,,
,Elektronik (Saturn),,,,,,
,Elektronik (reBuy),,,,,,
,Events/Training,,,,,,
,Hardware (Plaud),,,,,,
,Versand,,,,,,
,Repräsentationskosten,,,,,,
,Verpflegung/Bewirtung,,,,,,
,Werbekosten,,,,,,
,Marketing Material,,,,,,
,Personalkosten,,,,,,
,Freelancer (Kelvin),Personalkosten,,,,,
,Niclas,Personalkosten,,,,,
,Clara,Personalkosten,,,,,
,Julian,Personalkosten,,,,,
,Cedric,Personalkosten,,,,,
,Recruiting (Shepherd),,,,,,
,Beratungskosten,,,,,,
,Steuerberater,,,,,,
,Raumkosten,,,,,,
,Internet/Telefon,,,,,,
,Miete/Gewerbesteuer (Hennef),,,,,,
,,,,,,,
,STEUERN,,,,,,
,Steuerzahlungen (Div.),,,,,,
,USt / GewSt Vorauszahlung,,,,,,
,Versicherungen/Beiträge,,,,,,
,BBK / Versorgungswerk,,,,,,
,Hiscox (Haftpflicht),,,,,,
,IHK Beitrag,,,,,,
,Knappschaft (Minijob),,,,,,
,Krankenkasse (TK),,,,,,
,SOFTWARE & ABOS (Mtl.),,,,,,
,Invoice Fetcher,,,,,,
,Besondere Kosten,,,,,,
,Bürobedarf (Amazon),,,,,,
,Gebühren (DPMA/Bundeskasse),,,,,,
,Werbe-/Reisekosten,,,,,,
,PayPal (Div. Ausgaben),,,,,,
,,,,,,,
,ANDERE KOSTEN,,,,,,
,Deutsche Bank Köln,,,,,,
,Investments / Entnahmen,,,,,,
,Marc Julian Elsässer,,,,,,
,Unbekannt,,,,,,
,Bankgebühren (Voba),,,,,,
,Kreditkarten-Gebühr (Ausland),,,,,,
,,,,,,,
,GESAMT ABFLUSS,,,,,,
